widthGxH, widthGxV, widthGyH, widthGyV, offsetGxH, offsetGxV, offsetGyH, offsetGyV
0.026153, 0.026366, 0.025527, 0.027026, -0.000156, -0.000291, -0.000113, -0.000301
0.026134, 0.026336, 0.025500, 0.026976, -0.000144, -0.000293, -0.000125, -0.000291
0.026068, 0.026311, 0.025426, 0.026928, -0.000138, -0.000300, -0.000116, -0.000309
0.026051, 0.026285, 0.025408, 0.026949, -0.000151, -0.000284, -0.000118, -0.000280
0.026044, 0.026267, 0.025374, 0.026955, -0.000142, -0.000283, -0.000125, -0.000298
0.026066, 0.026203, 0.025338, 0.026940, -0.000145, -0.000275, -0.000134, -0.000342
0.025983, 0.026192, 0.025342, 0.027001, -0.000154, -0.000279, -0.000109, -0.000348
0.025960, 0.026131, 0.025305, 0.026982, -0.000152, -0.000260, -0.000139, -0.000385
0.025900, 0.026119, 0.025259, 0.027031, -0.000146, -0.000264, -0.000128, -0.000380
0.025856, 0.026152, 0.025225, 0.027090, -0.000157, -0.000243, -0.000126, -0.000325
0.025776, 0.026049, 0.025163, 0.027048, -0.000178, -0.000250, -0.000130, -0.000312
0.025770, 0.026086, 0.025128, 0.026995, -0.000160, -0.000252, -0.000111, -0.000220
0.025693, 0.026005, 0.025076, 0.026880, -0.000180, -0.000237, -0.000128, -0.000210
0.025635, 0.025988, 0.025040, 0.026797, -0.000164, -0.000243, -0.000135, -0.000188
0.025605, 0.025923, 0.025048, 0.026749, -0.000169, -0.000244, -0.000140, -0.000220
0.025606, 0.025903, 0.025015, 0.026664, -0.000172, -0.000244, -0.000147, -0.000258
0.025614, 0.025868, 0.024942, 0.026663, -0.000191, -0.000274, -0.000131, -0.000321
0.025563, 0.025830, 0.024985, 0.026630, -0.000196, -0.000262, -0.000133, -0.000356
0.025551, 0.025805, 0.024915, 0.026625, -0.000183, -0.000264, -0.000156, -0.000377
0.025495, 0.025762, 0.024926, 0.026602, -0.000177, -0.000234, -0.000133, -0.000341
0.025423, 0.025721, 0.024903, 0.026566, -0.000164, -0.000231, -0.000166, -0.000333
0.025382, 0.025685, 0.024839, 0.026544, -0.000170, -0.000250, -0.000140, -0.000324
0.025342, 0.025664, 0.024782, 0.026504, -0.000158, -0.000247, -0.000147, -0.000314
0.025267, 0.025601, 0.024734, 0.026497, -0.000168, -0.000249, -0.000146, -0.000303
0.025218, 0.025600, 0.024681, 0.026545, -0.000157, -0.000278, -0.000163, -0.000329
0.025200, 0.025624, 0.024650, 0.026578, -0.000166, -0.000261, -0.000140, -0.000347
0.025166, 0.025616, 0.024620, 0.026528, -0.000152, -0.000264, -0.000155, -0.000377
0.025136, 0.025598, 0.024580, 0.026532, -0.000172, -0.000239, -0.000124, -0.000362
0.025124, 0.025564, 0.024535, 0.026456, -0.000166, -0.000222, -0.000155, -0.000366
0.025093, 0.025569, 0.024488, 0.026356, -0.000155, -0.000217, -0.000149, -0.000388
0.025061, 0.025539, 0.024454, 0.026301, -0.000169, -0.000210, -0.000166, -0.000376
0.025035, 0.025516, 0.024454, 0.026251, -0.000178, -0.000172, -0.000153, -0.000322
0.024998, 0.025512, 0.024384, 0.026192, -0.000152, -0.000152, -0.000148, -0.000270
0.024971, 0.025449, 0.024415, 0.026156, -0.000155, -0.000123, -0.000142, -0.000253
0.024975, 0.025426, 0.024380, 0.026127, -0.000162, -0.000135, -0.000157, -0.000238
0.024932, 0.025425, 0.024324, 0.026103, -0.000151, -0.000111, -0.000154, -0.000174
0.024915, 0.025406, 0.024326, 0.026027, -0.000159, -0.000111, -0.000156, -0.000164
0.024873, 0.025344, 0.024276, 0.025969, -0.000147, -0.000141, -0.000143, -0.000184
0.024883, 0.025313, 0.024286, 0.025883, -0.000157, -0.000150, -0.000136, -0.000189
0.024874, 0.025265, 0.024272, 0.025783, -0.000146, -0.000158, -0.000124, -0.000236
0.024857, 0.025230, 0.024258, 0.025698, -0.000156, -0.000183, -0.000158, -0.000247
0.024865, 0.025183, 0.024221, 0.025704, -0.000125, -0.000199, -0.000149, -0.000277
0.024833, 0.025191, 0.024221, 0.025672, -0.000148, -0.000195, -0.000147, -0.000317
0.024838, 0.025153, 0.024210, 0.025745, -0.000124, -0.000218, -0.000138, -0.000274
0.024824, 0.025126, 0.024164, 0.025692, -0.000148, -0.000202, -0.000127, -0.000260
0.024789, 0.025130, 0.024073, 0.025760, -0.000162, -0.000182, -0.000133, -0.000186
0.024745, 0.025126, 0.024087, 0.025762, -0.000151, -0.000164, -0.000128, -0.000141
0.024709, 0.025087, 0.024086, 0.025752, -0.000149, -0.000155, -0.000142, -0.000112
0.024673, 0.025069, 0.024054, 0.025767, -0.000159, -0.000153, -0.000135, -0.000066
0.024655, 0.025052, 0.024068, 0.025668, -0.000188, -0.000160, -0.000136, -0.000051
0.024667, 0.024988, 0.024068, 0.025594, -0.000167, -0.000164, -0.000138, -0.000021
0.024644, 0.024969, 0.024042, 0.025512, -0.000175, -0.000207, -0.000131, -0.000025
0.024640, 0.024899, 0.024038, 0.025406, -0.000177, -0.000188, -0.000139, -0.000018
0.024655, 0.024840, 0.024007, 0.025385, -0.000174, -0.000237, -0.000107, -0.000048
0.024616, 0.024758, 0.024041, 0.025291, -0.000197, -0.000222, -0.000120, -0.000052
0.024578, 0.024755, 0.024017, 0.025297, -0.000198, -0.000258, -0.000124, -0.000020
0.024596, 0.024722, 0.023945, 0.025285, -0.000194, -0.000230, -0.000127, -0.000021
0.024559, 0.024716, 0.023929, 0.025217, -0.000202, -0.000238, -0.000118, 0.000001
0.024539, 0.024662, 0.023918, 0.025152, -0.000183, -0.000236, -0.000117, 0.000014
0.024528, 0.024621, 0.023903, 0.025100, -0.000195, -0.000262, -0.000127, 0.000012
0.024504, 0.024590, 0.023946, 0.025001, -0.000200, -0.000248, -0.000116, 0.000006
0.024471, 0.024550, 0.023897, 0.024951, -0.000184, -0.000258, -0.000117, 0.000001
0.024457, 0.024535, 0.023925, 0.024935, -0.000187, -0.000270, -0.000116, -0.000033
0.024442, 0.024505, 0.023901, 0.024925, -0.000160, -0.000300, -0.000107, -0.000070
0.024405, 0.024477, 0.023916, 0.024942, -0.000188, -0.000306, -0.000132, -0.000089
0.024387, 0.024451, 0.023845, 0.024987, -0.000203, -0.000330, -0.000121, -0.000098
0.024383, 0.024398, 0.023803, 0.024993, -0.000165, -0.000291, -0.000109, -0.000115
0.024366, 0.024380, 0.023754, 0.025063, -0.000162, -0.000335, -0.000105, -0.000127
0.024355, 0.024425, 0.023721, 0.025063, -0.000184, -0.000364, -0.000111, -0.000098
0.024327, 0.024361, 0.023633, 0.025029, -0.000161, -0.000341, -0.000107, -0.000080
0.024294, 0.024352, 0.023640, 0.024965, -0.000175, -0.000332, -0.000127, -0.000082
0.024306, 0.024327, 0.023627, 0.024965, -0.000193, -0.000311, -0.000119, -0.000083
0.024312, 0.024344, 0.023598, 0.024904, -0.000170, -0.000289, -0.000117, -0.000059
0.024294, 0.024298, 0.023620, 0.024787, -0.000163, -0.000278, -0.000100, -0.000034
0.024272, 0.024257, 0.023648, 0.024681, -0.000189, -0.000274, -0.000095, -0.000050
0.024271, 0.024176, 0.023605, 0.024612, -0.000159, -0.000259, -0.000084, -0.000057
0.024267, 0.024114, 0.023615, 0.024552, -0.000168, -0.000270, -0.000102, -0.000074
0.024241, 0.024074, 0.023581, 0.024492, -0.000160, -0.000257, -0.000072, -0.000084
0.024183, 0.024073, 0.023518, 0.024488, -0.000170, -0.000276, -0.000072, -0.000094
0.024216, 0.024015, 0.023466, 0.024458, -0.000166, -0.000273, -0.000081, -0.000118
0.024110, 0.023999, 0.023404, 0.024452, -0.000156, -0.000260, -0.000065, -0.000138
0.024133, 0.023978, 0.023400, 0.024448, -0.000134, -0.000299, -0.000064, -0.000112
0.024092, 0.023942, 0.023390, 0.024420, -0.000159, -0.000301, -0.000066, -0.000148
0.024089, 0.023923, 0.023376, 0.024374, -0.000173, -0.000273, -0.000049, -0.000190
0.024040, 0.023898, 0.023339, 0.024374, -0.000157, -0.000287, -0.000046, -0.000194
0.024040, 0.023864, 0.023366, 0.024373, -0.000176, -0.000271, -0.000045, -0.000194
0.024029, 0.023890, 0.023330, 0.024315, -0.000155, -0.000243, -0.000037, -0.000192
0.023974, 0.023900, 0.023296, 0.024342, -0.000176, -0.000240, -0.000045, -0.000193
0.023969, 0.023853, 0.023281, 0.024323, -0.000166, -0.000230, -0.000038, -0.000180
0.023897, 0.023803, 0.023209, 0.024391, -0.000188, -0.000205, -0.000036, -0.000154
0.023865, 0.023783, 0.023142, 0.024391, -0.000181, -0.000191, -0.000034, -0.000143
0.023841, 0.023774, 0.023128, 0.024343, -0.000178, -0.000183, -0.000044, -0.000130
0.023791, 0.023699, 0.023113, 0.024316, -0.000185, -0.000185, -0.000048, -0.000145
0.023780, 0.023694, 0.023083, 0.024312, -0.000189, -0.000166, -0.000075, -0.000136
0.023733, 0.023610, 0.023065, 0.024297, -0.000176, -0.000183, -0.000086, -0.000171
0.023738, 0.023609, 0.023063, 0.024222, -0.000189, -0.000167, -0.000062, -0.000174
0.023704, 0.023607, 0.023045, 0.024231, -0.000173, -0.000154, -0.000069, -0.000153
0.023658, 0.023531, 0.023004, 0.024136, -0.000199, -0.000154, -0.000083, -0.000118
0.023643, 0.023496, 0.022989, 0.024098, -0.000185, -0.000158, -0.000067, -0.000106
0.023650, 0.023509, 0.022987, 0.023982, -0.000187, -0.000144, -0.000066, -0.000086
0.023586, 0.023471, 0.022938, 0.023964, -0.000183, -0.000147, -0.000063, -0.000070
0.023574, 0.023427, 0.022916, 0.023919, -0.000185, -0.000151, -0.000049, -0.000120
0.023587, 0.023384, 0.022911, 0.023876, -0.000198, -0.000116, -0.000071, -0.000158
0.023485, 0.023382, 0.022872, 0.023897, -0.000174, -0.000159, -0.000071, -0.000188
0.023450, 0.023367, 0.022856, 0.023987, -0.000199, -0.000156, -0.000070, -0.000233
0.023447, 0.023324, 0.022767, 0.023993, -0.000192, -0.000134, -0.000070, -0.000224
0.023415, 0.023350, 0.022721, 0.024064, -0.000193, -0.000142, -0.000076, -0.000185
0.023364, 0.023317, 0.022679, 0.024096, -0.000194, -0.000128, -0.000072, -0.000143
0.023285, 0.023354, 0.022618, 0.024052, -0.000171, -0.000151, -0.000063, -0.000124
0.023258, 0.023290, 0.022634, 0.024023, -0.000203, -0.000130, -0.000065, -0.000128
0.023247, 0.023305, 0.022594, 0.023989, -0.000198, -0.000128, -0.000061, -0.000148
0.023222, 0.023290, 0.022681, 0.023971, -0.000206, -0.000125, 0.000014, -0.000240
0.023175, 0.023250, 0.022605, 0.023985, -0.000198, -0.000103, -0.000008, -0.000285
0.023144, 0.023220, 0.022557, 0.023863, -0.000207, -0.000088, -0.000055, -0.000214
0.023134, 0.023179, 0.022491, 0.023735, -0.000210, -0.000106, -0.000083, -0.000156
0.023138, 0.023178, 0.022438, 0.023721, -0.000210, -0.000084, -0.000088, -0.000078
0.023078, 0.023128, 0.022465, 0.023674, -0.000216, -0.000088, -0.000100, -0.000032
0.023066, 0.023082, 0.022435, 0.023631, -0.000216, -0.000119, -0.000105, 0.000001
0.023013, 0.023094, 0.022405, 0.023547, -0.000203, -0.000102, -0.000109, 0.000007
0.022995, 0.023037, 0.022320, 0.023543, -0.000220, -0.000097, -0.000117, -0.000014
0.022970, 0.022970, 0.022333, 0.023502, -0.000207, -0.000110, -0.000115, -0.000060
0.022972, 0.022965, 0.022293, 0.023486, -0.000220, -0.000145, -0.000118, -0.000084
0.022947, 0.022922, 0.022257, 0.023495, -0.000215, -0.000130, -0.000111, -0.000123
0.022896, 0.022912, 0.022297, 0.023419, -0.000203, -0.000149, -0.000132, -0.000117
0.022858, 0.022906, 0.022259, 0.023449, -0.000212, -0.000146, -0.000105, -0.000107
0.022851, 0.022898, 0.022282, 0.023387, -0.000205, -0.000158, -0.000080, -0.000058
0.022851, 0.022917, 0.022231, 0.023349, -0.000220, -0.000176, -0.000100, -0.000042
0.022793, 0.022912, 0.022206, 0.023321, -0.000220, -0.000181, -0.000090, -0.000030
0.022713, 0.022945, 0.022197, 0.023315, -0.000217, -0.000174, -0.000096, -0.000029
0.022710, 0.022941, 0.022164, 0.023303, -0.000196, -0.000153, -0.000115, -0.000032
0.022689, 0.022907, 0.022097, 0.023295, -0.000207, -0.000142, -0.000120, -0.000003
0.022617, 0.022902, 0.022099, 0.023298, -0.000205, -0.000166, -0.000131, 0.000012
0.022583, 0.022903, 0.022072, 0.023277, -0.000192, -0.000143, -0.000142, 0.000030
0.022578, 0.022867, 0.022039, 0.023224, -0.000194, -0.000145, -0.000133, 0.000070
0.022569, 0.022837, 0.022055, 0.023149, -0.000191, -0.000128, -0.000118, 0.000084
0.022515, 0.022820, 0.022031, 0.023111, -0.000171, -0.000140, -0.000126, 0.000086
0.022527, 0.022771, 0.021991, 0.023110, -0.000187, -0.000133, -0.000118, 0.000092
0.022470, 0.022764, 0.021998, 0.023026, -0.000180, -0.000158, -0.000130, 0.000094
0.022475, 0.022722, 0.021987, 0.022991, -0.000188, -0.000165, -0.000144, 0.000068
0.022418, 0.022687, 0.021958, 0.023005, -0.000147, -0.000182, -0.000138, 0.000047
0.022390, 0.022693, 0.021943, 0.022981, -0.000131, -0.000196, -0.000149, 0.000010
0.022377, 0.022655, 0.021904, 0.022964, -0.000158, -0.000180, -0.000136, -0.000018
0.022344, 0.022633, 0.021866, 0.022960, -0.000165, -0.000197, -0.000152, 0.000017
0.022317, 0.022586, 0.021817, 0.022966, -0.000164, -0.000187, -0.000137, -0.000013
0.022283, 0.022572, 0.021805, 0.022940, -0.000141, -0.000219, -0.000161, -0.000007
0.022265, 0.022561, 0.021772, 0.022940, -0.000153, -0.000219, -0.000117, -0.000028
0.022247, 0.022565, 0.021752, 0.022931, -0.000151, -0.000222, -0.000138, -0.000045
0.018455, 0.019210, 0.018564, 0.019065, -0.000039, -0.000205, -0.000166, -0.000047
0.018425, 0.019200, 0.018569, 0.019095, -0.000037, -0.000252, -0.000159, -0.000052
0.018434, 0.019162, 0.018573, 0.019054, -0.000033, -0.000226, -0.000148, -0.000034
0.018397, 0.019166, 0.018531, 0.019101, -0.000035, -0.000235, -0.000162, -0.000061
0.018370, 0.019139, 0.018522, 0.019102, -0.000024, -0.000221, -0.000180, -0.000062
0.018338, 0.019162, 0.018488, 0.019121, -0.000048, -0.000230, -0.000187, -0.000082
0.018327, 0.019178, 0.018457, 0.019126, -0.000042, -0.000243, -0.000194, -0.000075
0.018327, 0.019136, 0.018461, 0.019130, -0.000036, -0.000225, -0.000199, -0.000100
0.018311, 0.019139, 0.018418, 0.019097, -0.000041, -0.000228, -0.000202, -0.000097
0.018300, 0.019120, 0.018425, 0.019098, -0.000047, -0.000226, -0.000210, -0.000080
0.018286, 0.019107, 0.018413, 0.019036, -0.000045, -0.000193, -0.000189, -0.000077
0.018273, 0.019095, 0.018398, 0.018995, -0.000059, -0.000188, -0.000187, -0.000063
0.018251, 0.019068, 0.018434, 0.018965, -0.000042, -0.000199, -0.000203, -0.000060
0.018261, 0.019055, 0.018399, 0.018960, -0.000061, -0.000173, -0.000201, -0.000052
0.018217, 0.019027, 0.018395, 0.018894, -0.000047, -0.000184, -0.000203, -0.000064
0.018237, 0.019029, 0.018395, 0.018886, -0.000061, -0.000171, -0.000207, -0.000065
0.018196, 0.019030, 0.018379, 0.018901, -0.000049, -0.000183, -0.000203, -0.000062
0.018196, 0.018980, 0.018359, 0.018874, -0.000057, -0.000195, -0.000191, -0.000100
0.018166, 0.018960, 0.018333, 0.018873, -0.000059, -0.000200, -0.000201, -0.000128
0.018151, 0.018981, 0.018368, 0.018839, -0.000058, -0.000199, -0.000188, -0.000110
0.018132, 0.018941, 0.018314, 0.018848, -0.000052, -0.000199, -0.000197, -0.000155
0.018121, 0.018963, 0.018329, 0.018803, -0.000058, -0.000213, -0.000188, -0.000171
0.018130, 0.018882, 0.018298, 0.018799, -0.000063, -0.000213, -0.000185, -0.000162
0.018102, 0.018856, 0.018278, 0.018746, -0.000077, -0.000184, -0.000182, -0.000160
0.018079, 0.018858, 0.018272, 0.018765, -0.000052, -0.000197, -0.000182, -0.000155
0.018047, 0.018884, 0.018248, 0.018774, -0.000060, -0.000202, -0.000168, -0.000166
0.018036, 0.018870, 0.018251, 0.018730, -0.000049, -0.000191, -0.000186, -0.000153
0.018024, 0.018870, 0.018225, 0.018721, -0.000057, -0.000211, -0.000165, -0.000147
0.018027, 0.018863, 0.018228, 0.018752, -0.000060, -0.000225, -0.000167, -0.000166
0.017992, 0.018849, 0.018207, 0.018713, -0.000056, -0.000206, -0.000180, -0.000150
0.017995, 0.018860, 0.018186, 0.018694, -0.000046, -0.000217, -0.000165, -0.000104
0.017957, 0.018835, 0.018203, 0.018660, -0.000049, -0.000194, -0.000165, -0.000086
0.017968, 0.018816, 0.018169, 0.018660, -0.000071, -0.000203, -0.000176, -0.000067
0.017953, 0.018822, 0.018172, 0.018628, -0.000055, -0.000187, -0.000174, -0.000061
0.017937, 0.018798, 0.018153, 0.018571, -0.000062, -0.000165, -0.000162, -0.000057
0.017932, 0.018772, 0.018155, 0.018535, -0.000063, -0.000161, -0.000178, -0.000064
0.017921, 0.018792, 0.018163, 0.018539, -0.000052, -0.000158, -0.000175, -0.000106
0.017888, 0.018768, 0.018112, 0.018449, -0.000061, -0.000156, -0.000161, -0.000126
0.017880, 0.018735, 0.018137, 0.018440, -0.000065, -0.000167, -0.000163, -0.000130
0.017896, 0.018740, 0.018102, 0.018438, -0.000057, -0.000176, -0.000163, -0.000118
0.017857, 0.018719, 0.018119, 0.018412, -0.000054, -0.000213, -0.000169, -0.000119
0.017855, 0.018730, 0.018101, 0.018427, -0.000066, -0.000214, -0.000167, -0.000108
0.017831, 0.018727, 0.018094, 0.018437, -0.000068, -0.000214, -0.000156, -0.000093
0.017818, 0.018680, 0.018068, 0.018420, -0.000054, -0.000217, -0.000171, -0.000109
0.017827, 0.018703, 0.018051, 0.018401, -0.000066, -0.000226, -0.000162, -0.000099
0.017841, 0.018684, 0.018045, 0.018366, -0.000043, -0.000223, -0.000171, -0.000109
0.017781, 0.018674, 0.018019, 0.018365, -0.000065, -0.000202, -0.000153, -0.000119
0.017781, 0.018672, 0.018025, 0.018350, -0.000070, -0.000208, -0.000165, -0.000116
0.017738, 0.018649, 0.017988, 0.018371, -0.000056, -0.000202, -0.000189, -0.000120
0.017763, 0.018650, 0.017973, 0.018360, -0.000054, -0.000194, -0.000186, -0.000095
0.017744, 0.018669, 0.017972, 0.018354, -0.000046, -0.000202, -0.000194, -0.000090
0.017703, 0.018641, 0.017962, 0.018374, -0.000054, -0.000210, -0.000172, -0.000081
0.017698, 0.018618, 0.017938, 0.018328, -0.000055, -0.000212, -0.000154, -0.000085
0.017730, 0.018615, 0.017935, 0.018348, -0.000042, -0.000215, -0.000189, -0.000060
0.017673, 0.018622, 0.017912, 0.018324, -0.000034, -0.000235, -0.000177, -0.000060
0.017639, 0.018585, 0.017899, 0.018299, -0.000040, -0.000234, -0.000186, -0.000058
0.017660, 0.018585, 0.017889, 0.018293, -0.000057, -0.000238, -0.000152, -0.000069
0.017639, 0.018579, 0.017889, 0.018272, -0.000038, -0.000203, -0.000163, -0.000089
0.017649, 0.018574, 0.017867, 0.018231, -0.000038, -0.000195, -0.000175, -0.000077
0.017651, 0.018512, 0.017825, 0.018191, -0.000046, -0.000182, -0.000181, -0.000082
0.017636, 0.018530, 0.017839, 0.018232, -0.000048, -0.000200, -0.000144, -0.000096
0.017624, 0.018498, 0.017814, 0.018250, -0.000052, -0.000209, -0.000145, -0.000129
0.017599, 0.018482, 0.017804, 0.018250, -0.000051, -0.000203, -0.000161, -0.000136
0.017583, 0.018459, 0.017775, 0.018229, -0.000064, -0.000231, -0.000165, -0.000142
0.017556, 0.018466, 0.017814, 0.018248, -0.000046, -0.000235, -0.000159, -0.000123
0.017537, 0.018456, 0.017776, 0.018263, -0.000058, -0.000250, -0.000160, -0.000126
0.017536, 0.018457, 0.017779, 0.018248, -0.000055, -0.000234, -0.000143, -0.000098
0.017522, 0.018422, 0.017760, 0.018209, -0.000076, -0.000240, -0.000143, -0.000070
0.017544, 0.018425, 0.017741, 0.018237, -0.000072, -0.000217, -0.000147, -0.000082
0.017523, 0.018407, 0.017745, 0.018227, -0.000069, -0.000200, -0.000139, -0.000064
0.017483, 0.018417, 0.017714, 0.018194, -0.000068, -0.000198, -0.000163, -0.000063
0.017481, 0.018384, 0.017715, 0.018168, -0.000063, -0.000208, -0.000133, -0.000086
0.017450, 0.018373, 0.017682, 0.018117, -0.000069, -0.000226, -0.000144, -0.000101
0.017484, 0.018379, 0.017717, 0.018107, -0.000079, -0.000228, -0.000142, -0.000094
0.017399, 0.018288, 0.017651, 0.018050, -0.000071, -0.000255, -0.000130, -0.000052
0.017375, 0.018262, 0.017620, 0.018015, -0.000087, -0.000224, -0.000145, -0.000089
0.017375, 0.018233, 0.017614, 0.017980, -0.000088, -0.000247, -0.000133, -0.000127
0.017360, 0.018225, 0.017607, 0.018018, -0.000094, -0.000239, -0.000141, -0.000158
0.017325, 0.018216, 0.017593, 0.017944, -0.000097, -0.000247, -0.000113, -0.000184
0.017362, 0.018205, 0.017568, 0.017956, -0.000098, -0.000257, -0.000136, -0.000193
